	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
final_contigs_AG-910-A02_AG-910-A02_NODE_1_11	final_contigs_AG-910-A02	AG-910-A02_NODE_1	11	12962	13999	1	D										Glycosyl transferase family 4 [PF00953.25]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_12	final_contigs_AG-910-A02	AG-910-A02_NODE_1	12	13996	15012	1	C	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2]								GDP-mannose 4,6 dehydratase [PF16363.9]; NAD dependent epimerase/dehydratase family [PF01370.25]; RmlD substrate binding domain [PF04321.21]; Polysaccharide biosynthesis protein [PF02719.19]; Male sterility protein [PF07993.16]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_13	final_contigs_AG-910-A02	AG-910-A02_NODE_1	13	14990	15715	1	C	K01092	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]								Inositol monophosphatase family [PF00459.29]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_14	final_contigs_AG-910-A02	AG-910-A02_NODE_1	14	15712	16659	1	C	K07276	uncharacterized protein								Mitochondrial fission ELM1 [PF06258.15]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_15	final_contigs_AG-910-A02	AG-910-A02_NODE_1	15	16656	18062	1	C	K01669	deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]								FAD binding domain of DNA photolyase [PF03441.18]; DNA photolyase [PF00875.22]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_16	final_contigs_AG-910-A02	AG-910-A02_NODE_1	16	18117	19535	1	D										Aldehyde dehydrogenase family [PF00171.26]; Acyl-CoA reductase (LuxC) [PF05893.18]; Protein of unknown function (DUF1487) [PF07368.15]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_17	final_contigs_AG-910-A02	AG-910-A02_NODE_1	17	19532	20368	-1	D										Class II Aldolase and Adducin N-terminal domain [PF00596.25]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_18	final_contigs_AG-910-A02	AG-910-A02_NODE_1	18	20404	21801	1	D										Lyase [PF00206.24]; Fumarase C C-terminus [PF10415.13]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_19	final_contigs_AG-910-A02	AG-910-A02_NODE_1	19	21803	22129	1	C	K01724	4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]								Pterin 4 alpha carbinolamine dehydratase [PF01329.23]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_20	final_contigs_AG-910-A02	AG-910-A02_NODE_1	20	22126	22767	1	C	K06920	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]								Queuosine biosynthesis protein QueC [PF06508.17]; PP-loop family [PF01171.24]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_21	final_contigs_AG-910-A02	AG-910-A02_NODE_1	21	22764	23393	1	C	K10026	7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]													0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_22	final_contigs_AG-910-A02	AG-910-A02_NODE_1	22	23344	24081	-1	D			MER0657532	A24A	MER0657532 - subfamily A24A unassigned peptidases () [A24.UPA]#A24A#{peptidase unit: 21-257}~source R6XWU3~	False	0.275	93.0	1.497e-19	Bacterial Peptidase A24 N-terminal domain [PF06750.17]; Type IV leader peptidase family [PF01478.22]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_23	final_contigs_AG-910-A02	AG-910-A02_NODE_1	23	24117	25577	1	C	K00088	IMP dehydrogenase [EC:1.1.1.205]								IMP dehydrogenase / GMP reductase domain [PF00478.29]; FMN-dependent dehydrogenase [PF01070.22]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_24	final_contigs_AG-910-A02	AG-910-A02_NODE_1	24	25577	27100	1	C	K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	MER0441973	C26	MER0441973 - GMP synthase (Vibrio sinaloensis) [C26.957]#C26#{peptidase unit: 10-232}~source ZP_08104770~	False	0.545	233.0	1.253e-63	Glutamine amidotransferase class-I [PF00117.32]; GMP synthase C terminal domain [PF00958.26]; NAD synthase [PF02540.21]; Peptidase C26 [PF07722.17]; Queuosine biosynthesis protein QueC [PF06508.17]; Thiamine biosynthesis protein (ThiI) [PF02568.18]; PP-loop family [PF01171.24]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_25	final_contigs_AG-910-A02	AG-910-A02_NODE_1	25	27108	27557	-1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_26	final_contigs_AG-910-A02	AG-910-A02_NODE_1	26	27654	28523	1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_27	final_contigs_AG-910-A02	AG-910-A02_NODE_1	27	28527	28841	-1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_28	final_contigs_AG-910-A02	AG-910-A02_NODE_1	28	28880	31024	-1	D										Domain of unknown function (DUF305) [PF03713.17]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_29	final_contigs_AG-910-A02	AG-910-A02_NODE_1	29	31091	31396	1	D										2-hydroxy-palmitic acid dioxygenase Mpo1-like [PF06127.15]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_30	final_contigs_AG-910-A02	AG-910-A02_NODE_1	30	31403	32203	-1	C	K01142	exodeoxyribonuclease III [EC:3.1.11.2]								Endonuclease/Exonuclease/phosphatase family [PF03372.27]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_31	final_contigs_AG-910-A02	AG-910-A02_NODE_1	31	32203	34185	-1	C	K03797	carboxyl-terminal processing protease [EC:3.4.21.102]	MER1060095	S41A	MER1060095 - subfamily S41A unassigned peptidases (Pseudomonas sp. HPB0071) [S41.UPA]#S41A#{peptidase unit: 254-572}~source N2JAW6~	False	0.466	270.0	1.593e-74	Peptidase family S41 [PF03572.22]; Tail specific protease N-terminal domain [PF17804.5]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_32	final_contigs_AG-910-A02	AG-910-A02_NODE_1	32	34133	35029	-1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_33	final_contigs_AG-910-A02	AG-910-A02_NODE_1	33	35026	35805	-1	D										MazG nucleotide pyrophosphohydrolase domain [PF03819.21]; Phosphoribosyl-ATP pyrophosphohydrolase [PF01503.21]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_34	final_contigs_AG-910-A02	AG-910-A02_NODE_1	34	35789	36286	-1	D										Sir2 family [PF02146.21]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_35	final_contigs_AG-910-A02	AG-910-A02_NODE_1	35	36532	37368	1	C	K00858	NAD+ kinase [EC:2.7.1.23]								ATP-NAD kinase C-terminal domain [PF20143.3]; ATP-NAD kinase N-terminal domain [PF01513.25]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_36	final_contigs_AG-910-A02	AG-910-A02_NODE_1	36	37398	38267	1	D										Nucleotidyl transferase [PF00483.27]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_37	final_contigs_AG-910-A02	AG-910-A02_NODE_1	37	38461	39246	1	C	K00254	dihydroorotate dehydrogenase [EC:1.3.5.2]								Dihydroorotate dehydrogenase [PF01180.25]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_38	final_contigs_AG-910-A02	AG-910-A02_NODE_1	38	39236	41722	1	C	K03168	DNA topoisomerase I [EC:5.6.2.1]								DNA topoisomerase [PF01131.24]; Toprim domain [PF01751.26]; Topoisomerase I, zinc finger [PF21372.1]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_39	final_contigs_AG-910-A02	AG-910-A02_NODE_1	39	41766	42029	1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_40	final_contigs_AG-910-A02	AG-910-A02_NODE_1	40	42033	42626	-1	C	K01356	repressor LexA [EC:3.4.21.88]	MER1329550	S24	MER1329550 - family S24 unassigned peptidases () [S24.UPW]#S24#{peptidase unit: 84-193}~source OUV46811~	False	0.657	146.0	2.401e-38	LexA DNA binding domain [PF01726.20]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_41	final_contigs_AG-910-A02	AG-910-A02_NODE_1	41	42668	43546	1	D										5'-nucleotidase [PF06189.16]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_42	final_contigs_AG-910-A02	AG-910-A02_NODE_1	42	43543	44130	1	C	K02203	phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]								haloacid dehalogenase-like hydrolase [PF00702.30]; haloacid dehalogenase-like hydrolase [PF12710.11]; Haloacid dehalogenase-like hydrolase [PF13419.10]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_43	final_contigs_AG-910-A02	AG-910-A02_NODE_1	43	44127	44792	1	C	K09765	epoxyqueuosine reductase [EC:1.17.99.6]								Epoxyqueuosine reductase QueH [PF02677.18]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_44	final_contigs_AG-910-A02	AG-910-A02_NODE_1	44	44789	45907	1	C	K01659	2-methylcitrate synthase [EC:2.3.3.5]								Citrate synthase, C-terminal domain [PF00285.25]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_45	final_contigs_AG-910-A02	AG-910-A02_NODE_1	45	45907	47295	1	C	K01720	2-methylcitrate dehydratase [EC:4.2.1.79]								MmgE/PrpD N-terminal domain [PF03972.18]; MmgE/PrpD C-terminal domain [PF19305.3]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_46	final_contigs_AG-910-A02	AG-910-A02_NODE_1	46	47297	48370	1	C	K01736	chorismate synthase [EC:4.2.3.5]								Chorismate synthase [PF01264.25]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_47	final_contigs_AG-910-A02	AG-910-A02_NODE_1	47	48381	48842	1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_48	final_contigs_AG-910-A02	AG-910-A02_NODE_1	48	48845	49630	1	C	K06173	tRNA pseudouridine38-40 synthase [EC:5.4.99.12]								tRNA pseudouridine synthase [PF01416.24]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_49	final_contigs_AG-910-A02	AG-910-A02_NODE_1	49	49617	50483	1	C	K01963	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]								Carboxyl transferase domain [PF01039.26]; Acetyl-CoA carboxylase zinc finger domain [PF17848.5]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_50	final_contigs_AG-910-A02	AG-910-A02_NODE_1	50	50480	50932	1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_51	final_contigs_AG-910-A02	AG-910-A02_NODE_1	51	50926	51390	1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_52	final_contigs_AG-910-A02	AG-910-A02_NODE_1	52	51390	52847	1	C	K00764	amidophosphoribosyltransferase [EC:2.4.2.14]	MER0123745	C44	MER0123745 - amidophosphoribosyltransferase precursor () [C44.001]#C44#{peptidase unit: 2-251}~source EAW31738~	False	0.618	305.0	1.3099999999999998e-88	Glutamine amidotransferase domain [PF13522.10]; Glutamine amidotransferase domain [PF13537.10]; Phosphoribosyl transferase domain [PF00156.31]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_53	final_contigs_AG-910-A02	AG-910-A02_NODE_1	53	52837	55413	-1	C	K01682	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]								Aconitate hydratase 2 N-terminus [PF06434.17]; Aconitase family (aconitate hydratase) [PF00330.24]; Aconitate B N-terminal domain [PF11791.12]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_54	final_contigs_AG-910-A02	AG-910-A02_NODE_1	54	55481	55927	1	C	K06938	uncharacterized protein								Protein of unknown function (DUF1289) [PF06945.17]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_55	final_contigs_AG-910-A02	AG-910-A02_NODE_1	55	55929	57191	-1	C	K03502	DNA polymerase V								impB/mucB/samB family [PF00817.24]; impB/mucB/samB family C-terminal domain [PF11799.12]; Domain of unknown function (DUF4113) [PF13438.10]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_56	final_contigs_AG-910-A02	AG-910-A02_NODE_1	56	57191	57592	-1	D			MER0414941	S24	MER0414941 - UmuD protein () [S24.003]#S24#{peptidase unit: 29-140}~source ZP_11301707~	False	0.503	108.0	3.274e-26						0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_57	final_contigs_AG-910-A02	AG-910-A02_NODE_1	57	57634	58341	-1	C	K03269	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]								Calcineurin-like phosphoesterase superfamily domain [PF12850.11]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_58	final_contigs_AG-910-A02	AG-910-A02_NODE_1	58	58529	60532	1	C	K03702	excinuclease ABC subunit B								UvrB interaction domain [PF17757.5]; Ultra-violet resistance protein B [PF12344.12]; Type III restriction enzyme, res subunit [PF04851.19]; Helicase conserved C-terminal domain [PF00271.35]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_59	final_contigs_AG-910-A02	AG-910-A02_NODE_1	59	60534	64307	1	C	K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	MER0115129	C26	MER0115129 - family C26 unassigned peptidases (Shewanella pealeana) [C26.UPW]#C26#{peptidase unit: 1027-1276}~source ABV86644~	False	0.536	243.0	5.216e-63	CobB/CobQ-like glutamine amidotransferase domain [PF13507.10]; Formylglycinamide ribonucleotide amidotransferase N-terminal [PF18076.5]; Formylglycinamide ribonucleotide amidotransferase linker domain [PF18072.5]; AIR synthase related protein, C-terminal domain [PF02769.26]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_60	final_contigs_AG-910-A02	AG-910-A02_NODE_1	60	64304	64831	-1	C	K18453	ADP-ribose/FAD diphosphatase [EC:3.6.1.13 3.6.1.18]								NUDIX domain [PF00293.32]; Nudix N-terminal [PF14803.10]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_61	final_contigs_AG-910-A02	AG-910-A02_NODE_1	61	64861	65385	1	C	K01726	gamma-carbonic anhydrase [EC:4.2.1.-]								Dynactin subunit 5 [PF21711.1]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_62	final_contigs_AG-910-A02	AG-910-A02_NODE_1	62	65375	67921	1	C	K01872	alanyl-tRNA synthetase [EC:6.1.1.7]								tRNA synthetases class II (A) [PF01411.23]; Threonyl and Alanyl tRNA synthetase second additional domain [PF07973.18]; DHHA1 domain [PF02272.23]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_63	final_contigs_AG-910-A02	AG-910-A02_NODE_1	63	67928	69676	1	D			MER0998215	S09X	MER0998215 - family S9 unassigned peptidases (Congregibacter litoralis) [S09.UPW]#S09X#{peptidase unit: 99-466}~source A4ADB9~	False	0.4	248.0	5.923e-68	Carboxylesterase family [PF00135.32]; BD-FAE [PF20434.2]; alpha/beta hydrolase fold [PF07859.17]; Prolyl oligopeptidase family [PF00326.25]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_64	final_contigs_AG-910-A02	AG-910-A02_NODE_1	64	69811	70413	-1	C	K00275	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]								Pyridoxamine 5'-phosphate oxidase [PF01243.24]; Pyridoxamine 5'-phosphate oxidase [PF12766.11]; Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region [PF10590.13]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_65	final_contigs_AG-910-A02	AG-910-A02_NODE_1	65	70413	71810	-1	C	K00873	pyruvate kinase [EC:2.7.1.40]								Pyruvate kinase, barrel domain [PF00224.25]; Pyruvate kinase, alpha/beta domain [PF02887.20]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_66	final_contigs_AG-910-A02	AG-910-A02_NODE_1	66	71846	73039	1	C	K00639	glycine C-acetyltransferase [EC:2.3.1.29]	MER0501945	U32	MER0501945 - family U32 unassigned peptidases (Chthonomonas calidirosea) [U32.UPW]#U32#{peptidase unit: 148-232}~source YP_008089209~	False	0.507	84.0	1.269e-15	Aminotransferase class I and II [PF00155.25]; Aminotransferase class-V [PF00266.23]; Serine hydroxymethyltransferase [PF00464.23]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_67	final_contigs_AG-910-A02	AG-910-A02_NODE_1	67	73036	74061	1	C	K00060	threonine 3-dehydrogenase [EC:1.1.1.103]								Alcohol dehydrogenase GroES-like domain [PF08240.16]; Zinc-binding dehydrogenase [PF00107.30]; Glucose dehydrogenase C-terminus [PF16912.9]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_68	final_contigs_AG-910-A02	AG-910-A02_NODE_1	68	74048	75214	-1	D			MER1028263	S12	MER1028263 - family S12 unassigned peptidases () [S12.UPW]#S12#{peptidase unit: 101-340}~source Q1YU60~	False	0.39	159.0	2.828e-40	Beta-lactamase [PF00144.28]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_69	final_contigs_AG-910-A02	AG-910-A02_NODE_1	69	75201	76397	-1	D			MER1028263	S12	MER1028263 - family S12 unassigned peptidases () [S12.UPW]#S12#{peptidase unit: 101-340}~source Q1YU60~	False	0.646	312.0	3.9419999999999996e-92	Beta-lactamase [PF00144.28]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_70	final_contigs_AG-910-A02	AG-910-A02_NODE_1	70	76552	77124	1	D										ABC transporter [PF00005.31]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_71	final_contigs_AG-910-A02	AG-910-A02_NODE_1	71	77108	77749	1	C	K02194	heme exporter protein B													0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_72	final_contigs_AG-910-A02	AG-910-A02_NODE_1	72	77749	78480	1	C	K02195	heme exporter protein C								Cytochrome C assembly protein [PF01578.24]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_73	final_contigs_AG-910-A02	AG-910-A02_NODE_1	73	78473	78601	1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_74	final_contigs_AG-910-A02	AG-910-A02_NODE_1	74	78549	79007	1	C	K02197	cytochrome c-type biogenesis protein CcmE								CcmE [PF03100.19]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_75	final_contigs_AG-910-A02	AG-910-A02_NODE_1	75	79000	80832	1	C	K02198	cytochrome c-type biogenesis protein CcmF								Cytochrome c-type biogenesis protein CcmF C-terminal [PF16327.9]; Cytochrome C assembly protein [PF01578.24]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_76	final_contigs_AG-910-A02	AG-910-A02_NODE_1	76	80804	81334	1	C	K02199	cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE								Redoxin [PF08534.14]; Thioredoxin-like [PF13905.10]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_77	final_contigs_AG-910-A02	AG-910-A02_NODE_1	77	81318	81701	1	C	K02200	cytochrome c-type biogenesis protein CcmH								Cytochrome C biogenesis protein [PF03918.18]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_78	final_contigs_AG-910-A02	AG-910-A02_NODE_1	78	81691	83895	1	C	K03529	chromosome segregation protein								RecF/RecN/SMC N terminal domain [PF02463.23]; AAA domain [PF13476.10]; AAA ATPase domain [PF13175.10]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_79	final_contigs_AG-910-A02	AG-910-A02_NODE_1	79	83892	84545	1	D										ZipA, C-terminal FtsZ-binding domain [PF04354.17]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_80	final_contigs_AG-910-A02	AG-910-A02_NODE_1	80	84535	86511	1	C	K01972	DNA ligase (NAD+) [EC:6.5.1.2]								NAD-dependent DNA ligase adenylation domain [PF01653.22]; NAD-dependent DNA ligase OB-fold domain [PF03120.20]; Helix-hairpin-helix motif [PF12826.11]; BRCA1 C Terminus (BRCT) domain [PF00533.30]; twin BRCT domain [PF12738.11]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_81	final_contigs_AG-910-A02	AG-910-A02_NODE_1	81	86508	87110	1	D										Transglycosylase SLT domain [PF19489.3]; Transglycosylase SLT domain [PF01464.24]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_82	final_contigs_AG-910-A02	AG-910-A02_NODE_1	82	87107	89989	-1	C	K06972	presequence protease [EC:3.4.24.-]	MER0393075	M16C	MER0393075 - subfamily M16C unassigned peptidases () [M16.UPC]#M16C#{peptidase unit: 49-527}~source EJP72191~	True	0.513	459.0	1.732e-134	Peptidase M16C associated [PF08367.15]; Insulinase (Peptidase family M16) [PF00675.24]; Peptidase M16 inactive domain [PF05193.25]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_83	final_contigs_AG-910-A02	AG-910-A02_NODE_1	83	90042	90563	1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_84	final_contigs_AG-910-A02	AG-910-A02_NODE_1	84	90560	91141	-1	C	K00275	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]								Pyridoxamine 5'-phosphate oxidase [PF12766.11]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_85	final_contigs_AG-910-A02	AG-910-A02_NODE_1	85	91198	92907	1	D										Alkyl sulfatase dimerisation [PF14863.10]; Metallo-beta-lactamase superfamily [PF00753.31]; Alkyl sulfatase C-terminal [PF14864.10]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_86	final_contigs_AG-910-A02	AG-910-A02_NODE_1	86	92937	93224	-1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_87	final_contigs_AG-910-A02	AG-910-A02_NODE_1	87	93286	93591	1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_88	final_contigs_AG-910-A02	AG-910-A02_NODE_1	88	93711	94319	1	C	K17893	ubiquinol oxidase [EC:1.10.3.11]								Alternative oxidase [PF01786.21]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_89	final_contigs_AG-910-A02	AG-910-A02_NODE_1	89	94316	94747	1	D										Copper binding proteins, plastocyanin/azurin family [PF00127.24]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_90	final_contigs_AG-910-A02	AG-910-A02_NODE_1	90	94754	94900	1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_91	final_contigs_AG-910-A02	AG-910-A02_NODE_1	91	94916	95560	1	C	K17290	oxidoreductase [EC:1.1.1.-]								HIM1 [PF08732.14]; NAD(P)H-binding [PF13460.10]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_92	final_contigs_AG-910-A02	AG-910-A02_NODE_1	92	95557	96147	-1	D										DSBA-like thioredoxin domain [PF01323.24]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_93	final_contigs_AG-910-A02	AG-910-A02_NODE_1	93	96189	96917	1	D										short chain dehydrogenase [PF00106.29]; Enoyl-(Acyl carrier protein) reductase [PF13561.10]; KR domain [PF08659.14]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_94	final_contigs_AG-910-A02	AG-910-A02_NODE_1	94	96955	100353	1	C	K04090	indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]								Family of unknown function (DUF6537) [PF20169.2]; Pyruvate ferredoxin/flavodoxin oxidoreductase [PF01558.22]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_95	final_contigs_AG-910-A02	AG-910-A02_NODE_1	95	100354	100767	1	D										Beta-lactamase hydrolase-like protein, phosphatase-like domain [PF04273.17]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_96	final_contigs_AG-910-A02	AG-910-A02_NODE_1	96	100764	101057	-1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_97	final_contigs_AG-910-A02	AG-910-A02_NODE_1	97	101057	101443	-1	E															0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_98	final_contigs_AG-910-A02	AG-910-A02_NODE_1	98	101443	104532	-1	C	K13821	RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]								Aldehyde dehydrogenase family [PF00171.26]; Proline dehydrogenase [PF01619.22]; DNA-binding domain of Proline dehydrogenase [PF14850.10]; Acyl-CoA reductase (LuxC) [PF05893.18]; Protein of unknown function (DUF1487) [PF07368.15]					0
